Date,News
2016-02-21," The vast majority of Japanese firms are planning only modest pay raises this year, a Reuters poll showed, as murky growth prospects and turbulent markets push them to resist Prime Minister Shinzo Abe’s calls for robust hikes. The Reuters Corporate Survey found 84 percent of firms expect increases of less than 2 percent as they conduct annual wage talks   a strong indication of waning momentum after   companies offered raises above that level for the past two years. The survey, conducted Feb   also found that most companies expect cumulative wage increases since a 2014 national sales tax hike to be weak, underscoring little relief for consumers who have seen their purchasing power decline. Abe has repeatedly urged Japan Inc to lift worker compensation, particularly base pay, as a key part of his strategy to drag the country out of decades of deflation, but the survey results show many companies are hesitant to commit to further rises in fixed costs. ”Unless we can become optimistic about our earnings outlook, it will be tough to lift wages,” responded a manager at a manufacturer. The survey, conducted for Reuters by Nikkei Research, polled 513 big and   firms, with managers responding on condition of anonymity. Around   firms answered questions on wages. With a global stock market rout and sharp gains in the yen coming on the heels of a quarter of economic contraction, firms have a ready excuse to forgo wage hikes and early signs from labor unions have also shown they are reducing demands. Toyota Motor Corp’s ( ) labor union is seeking a 3, 000 yen ($27) increase in monthly base pay, half of what was sought last year. That is despite the automaker expecting record profits in current financial year to March. PURCHASING POWER PAIN In Japan, annual wage talks center on levels for base pay as well as raises linked to a worker’s length of service. Until a few years ago, many   companies had simply frozen base pay levels as they are seen as hard to undo, preferring to reward employees with bonuses. Around 30 percent of companies in the survey said they did not plan to raise base pay this year, compared to just 9 percent that plan to, while the rest remain undecided. Wages in Japan fell 0. 9 percent last year in real terms, dropping for a fourth straight year. Much of the decline has been blamed on the April 2014 national sales hike to 8 percent from 5 percent, as well as rises in the cost of food and daily necessities due to a weaker yen under Abenomics.  Including plans for this year, most companies expect cumulative wage raises since the tax hike of less than 3 percent. Just over a third of firms expect wages to have climbed between 1 and 2 percent since the hike, another 22 percent expect wages to have climbed less than 1 percent while 12 percent see no wage increases at all. ”The latest results suggest cumulative wage hikes still won’t be strong enough to help households regain purchasing power,” said Hidenobu Tokuda, senior economist at Mizuho Research Institute, who reviewed the survey results. ”The slump in private consumption can be explained in large part by declining purchasing power. A weak yen and rising food prices in recent years have further aggravated consumer spending.” ($1 = 113. 00 yen)  (Reporting by Tetsushi Kajimoto and Izumi Nakagawa; Editing by Edwina Gibbs) WASHINGTON New orders for U. S.  goods fell more than expected in May, but orders for capital equipment were a bit stronger than previously reported, suggesting the manufacturing sector remained on a moderate growth path. U. S. credit card processor Vantiv agreed to buy Britain’s Worldpay for 7. 7 billion pounds ($10 billion) on Wednesday in a move expected to trigger further deals. "
2016-02-22,", I want to receive updates from partners and sponsors. Among the regular cast of characters who populate the pages of Hungary’s newspapers and magazines, the one whose fame is hardest to understand, in a country long proud of its disproportionate share of Olympic medals and Nobel Prizes, may be the man usually identified simply as the prime minister’s dentist. Bela Batorfi’s rise to fame can be traced to the 2010 electoral victory of the conservative Fidesz party after eight years of Socialist Party dominance. Batorfi, then 41 years old, had a thriving practice in a posh residential corner of the capital with a clientele that included an impressive slice of the Budapest political elite. Among his longtime clients was the new prime minister, Viktor Orban, who had been his patient for almost 20 years. Orban quickly developed a reputation for ruthlessly punishing opponents and rewarding supporters, naming Fidesz loyalists to posts in the central bank and office of the chief prosecutor —  departments that had been previously immune to partisan politics. “‘Orban is putting his people everywhere,’ is a constant lament in Budapest,” the Economist itself lamented early in his term. Even the man who tended to the first family’s teeth stood to benefit. Batorfi is a specialist in oral surgery he is also the face of one of the most unexpectedly shimmering sectors of Hungary’s   economy. Between 2000 and 2008, the number of dentists in Hungary per capita increased by 56 percent. Hungary has more dentists per person than any other country, according to London journalist David Hancock, who in 2006 wrote a guide for British patients called The Complete Medical Tourist. “And since the country joined the European Union [in 2004] their fellow Europeans have had plenty to smile about, too, because prices are considerably cheaper there than in neighboring countries like Austria and Germany,” Hancock wrote. Americans Are Going to Juarez for Cheap Dental Care, By the time Orban became prime minister, medical tourism had become widely accepted by policymakers as unique tool for economic development. Its promise was almost magical: tourism for countries that had not been gifted with beaches or mountains, or had lacked the good sense millennia ago to preserve their abandoned stone structures for future sightseeing purposes. * * * Unlike Orban, Batorfi’s patients from abroad typically saw him only once or twice, if ever. Much as luck had once placed a promising young parliamentarian into Batorfi’s dental chair years before the patient would make good in politics, a fortuitous connection had introduced Batorfi to the practice of medical tourism years before the phrase meant much of anything to anyone. In 2000, Batorfi told me, a Hungarian based in England had approached him with a proposal. If he could persuade Brits to take advantage of cheap Hungarian dental work, would the dentist share with him a cut of the new business? Batorfi got a license to practice in the U. K. and rented an office in London. To his surprise, the patients started coming, adventurous types willing to confront the unfamiliar in search of prices that —  even with all travel expenses included —  typically fell below half of what they might pay in Bristol or Belfast. “In the beginning, that an English dentist would recommend a Hungarian dentist was unbelievable,” Batorfi marveled to me recently. Recognizing that foreign customers would be most likely to travel for expensive treatments where they could realize the greatest savings, Batorfi got his masters in implantology, which includes some of oral surgery’s most complex procedures. Back in Budapest, he began setting his prices in British pounds and offering free chauffeur pickup at the airport. He bought advertisements in London media. “The proof of his work and competence are the more than 35, 000 patients he has treated. Dr. Bartofi is honest and always ready to share his knowledge and expertise with his patients,” declared an ad Bartofi had placed in The Times. About a decade ago, Batorfi’s adviser Laszlo Szucs told me, Batorfi spent approximately $200, 000 to acquire four of what his adviser Szucs calls “the   of dental chairs. ” Szucs claims that there are only four other existing versions of the same model, manufactured by the Japanese company Morita: one owned by Russian President Vladimir Putin, one by German Chancellor Angela Merkel, and two by a private Swedish clinic. (I could not confirm this independently.) In 2010, medical tourism had already converted Bartofi’s business from a diverse   dental practice to a     outfit, and, with his patient and friend having become head of government, he and others close to him told me he began to contemplate whether the dominant market position he had assumed could be extrapolated into a type of national comparative advantage. A 2010 study by the country’s central tax bureau estimated that the 60, 000 or so dental tourists who traveled to Hungary each year generated at least 65 billion forints (about $227 million) in revenue for dentists, with another 13 billion or so forints (about $45 million) in ancillary spending on hotels and restaurants. The sector had survived the 2009 global recession, and business showed little sign of slowing. After all, the peculiar dynamics that brought people to Batorfi’s London clinic for consultations and onward to Budapest for surgery —  a British health system that made certain types of medical care scarce, or costly, or both —  weren’t likely to yield anytime soon. “There are few things in which Hungary is in a leading position, and dental tourism is the one,” Batorfi says. When the British dental profession started to push back at the Hungarian invasion of its home turf, it started with Batorfi himself. In 2011, he was informed that the British Dental Association had suspended his license to practice dentistry in the United Kingdom for one year. Charges of malpractice were based on the testimony of a patient who had, five years earlier, traveled to Budapest for implant surgery, and details of actual damages were sketchy. (Batorfi was alleged to have given insufficient advance information about the treatment plan and, after the patient expressed dissatisfaction with the procedure, had not responded to   queries about options for corrective treatment.) A month later, after an appeal, the suspension was rescinded, but not before the prime minister’s dentist had been elevated into a national symbol of Hungary’s ability to put wealthier countries on the defensive. This helps account for Bartofi’s local celebrity: His frequent appearances in Hungarian media are most often in connection with political intrigue. When, in his second year in office, Orban invited dental businesses to bid for a series of government contracts, Batorfi entered and ultimately won everything for which he appeared to be eligible. Over the first four years of Orban’s administration, 3 billion forints in contracts and state aid —  about $10 million —  flowed from Hungary’s federal government to companies and trade associations under Bartofi’s influence. “Batorfi has been Orban’s dentist since 1992,” Szucs told the news magazine Heti Vilaggazdasag, defending his client’s right to bid. “Why wouldn’t he enter into a competition when any other business could compete?” Announcing a major grant to the dental tourism sector at a Budapest conference in 2012, Orban called it “a worthy and good investment. ” (In a country that has struggled to deliver quality health coverage to all its citizens, however, the fact that the most lucrative part of Hungarian health care was a gaudily extravagant sector that existed largely to serve foreigners’ vanities might look to some citizens like a failure of government.) The financial commitment was a bet that medical tourism was more than a fad —  that what had very quickly shown Hungary to be effective at luring travelers to seek medical care wasn’t just the consequence of a few talented dentists emerging at the right time, or of Batorfi’s entrepreneurial instincts. Had Hungary made itself good at something that would last? After officially winning the public contract to determine how that “worthy and good investment” would be spent, Batorfi turned to yet another one of his patients for help. Laszlo Szucs was a communications consultant based in Budapest whom Batorfi had informally asked for marketing advice in between visits to the dental chair for years. When Batorfi had first put Szucs on his payroll, in 2009, Szucs was in Napa Valley, working on a short documentary about a   winemaker Mike Grgich, whose Chateau Montelena Chardonnay famously won the 1976 Judgment of Paris competition, establishing California wines as a formidable product with a distinct identity in the global marketplace. Szucs and Miklos Rozsa, a business consultant, began thinking about their product in similar terms. “Our aim is,” Rozsa told me, “in Switzerland, you get chocolates and watches. In Hungary, you get dentistry. ” This article has been adapted from Sasha Issenberg’s new book, Outpatients: The Astonishing New World of Medical Tourism."
2016-02-23," The Charlotte City Council passed an LGBT nondiscrimination bill on Monday night in a 7 to 4 vote  —   despite North Carolina Gov. Pat McCrory issuing a stern warning that the state may intervene to negate the city’s vote. Gov. McCrory had said state lawmakers could take “immediate” action to block the law in a Sunday email to city officials. Contacted by BuzzFeed News, his office declined to speculate on what action the legislature would take, and leaders in the state house and senate did not immediately comment. But several sources told BuzzFeed News the state could follow in the steps of Arkansas, where legislators passed a bill last year that preempts local jurisdictions from enacting nondiscrimination policies that extend beyond state law. That sort of clash in North Carolina could tee up a rancorous partisan showdown that pits a state capitol run by Republicans against city hall controlled by Democrats. Furthermore, it could make Charlotte the latest flashpoint for the national LGBT movement, which has struggled to pass nondiscrimination laws since winning marriage equality at the Supreme Court last year. The Charlotte ordinance, which is slated to take effect in April, bans discrimination on the basis of sexual orientation, gender identity, and gender expression in housing and places of public accommodation. (State law does not allow cities to ban workplace discrimination.) Charlotte City Councilmember John Autry supported the measure, telling BuzzFeed News before the vote it protects vulnerable citizens from discrimination. But if the state tried to challenge the law, he said, “We have no legal leg to contest it with. ” Autry said North Carolina law empowers the state with strong control over jurisdictions, allowing it to “preempt our authority. If the state wanted to, they could come here to the government center, fire all of us, send us home, and run the city themselves. ” We have a full house. Lots of people heading to the overflow space. #cltequality #clt #citycouncil, More than 100 people packed a council hearing before the vote.   Christian conservatives, many furious, expressed fear the nondiscrimination law would allow transgender people  —   and men posing as trans  —   to sexually assault women in restrooms. They also worried about their religious freedom, saying the bill would force them to promote LGBT values in violation of their faith. One man  —   dressed up as a king and waving a scepter  —   mocked transgender people by proclaiming, “I identify as gender royal   …     Anyone who does not bow and call me your highness shall be fined. ” When the man refused to stop yelling, Mayor Jennifer Roberts threatened to have him removed from the room. She also asked   speakers to show “human decency. ” One woman compared transgender people to someone who thinks they are a bird or cat, while another compared transgender people to drivers traveling the wrong direction on freeways. In contrast, a transgender woman told the council she was afraid to be there, while others said LGBT rights were part of a   civil rights movement. Supporters of the bill said perverted characterizations of transgender people only underscored the need to protect transgender people from discrimination. “Conservative people, led by a lot of religious factions, have tried to characterize transgender people as sex offenders, perverts, pedophiles, or all of the above,” Councilmember Autry said in phone call before the vote. “Show me the evidence that supports your assertion. I haven’t seen it. I think it’s about discrimination, and if you can deny the rights of our most vulnerable citizens, then you can just as easily work to deny the rights of other factions. ” There are no documented cases in the 17 states and 225 other cities with such laws on the books of people using the policies for nefarious purposes, but the bathroom attack has been a potent argument for blocking and repealing LGBT nondiscrimination laws. Last fall voters in Houston, Texas, repealed the city’s nondiscrimination bill and just this month the city council in Jacksonville, Florida, withdrew a similar bill. The assembly in Anchorage, Alaska, passed a similar law and citizens are attempted to repeal it. In all of those cities, as in Charlotte, critics hammered on a message that the nondiscrimination ordinance would allow transgender women  —   who they tend to describe as men  —   to sexually prey in women by claiming they are protected on the basis of gender identity in public restrooms and locker rooms. That was also a leading argument in South Dakota, which last week became the first state to pass a bill banning transgender students from using restrooms and locker rooms that correspond with their gender identity. The bill awaits the governor’s signature. In North Carolina, Gov. McCrory contended in his email that the ordinance tried “to solve a problem that does not exist,” adding that the bill may create “major public safety issues by   …     allowing a person with male anatomy, for example, to use a female restroom. ” The bathroom issue was also flashpoint in Charlotte last year, when the council narrowly rejected a similar bill. Since then, two Democrats on the council who voted against the bill were replaced by Democrats who voted yes on Monday. Equality North Carolina, an advocacy group, had helped support   candidates. It’s unclear how soon the the state could attempt to override Charlotte’s law. The General Assembly, which is currently out of session, could hold an extra session or take up the issue when they reconvene in spring. One state lawmaker, Rep. Dan Bishop, sent city officials a letter this month claiming the city lacked legal authority to pass a nondiscrimination ordinance because the state never delegated that power to municipalities.  "
2016-02-24,", I want to receive updates from partners and sponsors. Spanish. French. German. Computer coding. Are they the same? This question is at the center of a debate in Florida, where legislators are currently considering a bill that would require high schools to offer computer coding as a   credit. The bill is sponsored by the former Yahoo executive and democratic state senator Jeremy Ring, who sees coding as its own unique language. But some argue the skill doesn’t offer the value of   training and might be a better fit for the STEM disciplines. Last December, the   County Public Schools Superintendent Alberto Carvalho said he “absolutely” disagrees with the idea that computer coding is an equal substitute for a foreign language. (So do the editorial staffs of the Tampa Bay Times, Tallahassee Democrat, Orlando Sentinel and The Palm Beach Post.) Research out of the University of Florida suggests most Floridians believe Spanish instruction should be required in the state’s schools.   County, where more than 66 percent of residents are Hispanic or Latino, is home to the largest school district in Florida and the sixth largest in the U. S. Recently, the district pledged to improve its   instruction with better teacher training and a new curriculum. “Based on both educational, intellectual development, and emotional development —  as well as   economic development in an increasingly bilingual and biliterate community —  computer coding is not a ” Carvalho told the Miami Herald. Bills similar to Ring’s have passed or been introduced in other states, with proponents claiming the    approach will benefit students who will need to compete in the   workforce. “By 2020, companies across the U. S. will have 1. 4 million job openings requiring   expertise and just 400, 000 college graduates to fill them,” John Lauerman writes for Bloomberg Business. But, as a source tells Lauerman, monolingual Americans will need to up their game, too. Mari Corugedo, who teaches     learners in the   district, knows this firsthand. “In our case, in   many of the jobs do require them to have the language of Spanish in order to communicate and do business here,” she said in a phone interview Monday. While teaching her students English, she also works with them to maintain proficiency in their first language so that by the time they graduate from high school, they are confident in both. Corugedo is also a district director for League of United Latin American Citizens (LULAC) Florida, which opposes the bill. In a widely cited Code. org post related to this issue, the author Amy Hirotaka writes: Although we use the term “programming language” to refer to C++ Java, Python, and so on, these aren’t natural languages. Spanish has a vocabulary of 10, 000 words, with a consistent grammatical and sentence structure. In contrast, a typical computing language has a vocabulary of about 100 words, and the real work is learning how to put these words together to build a complex program. Another concern Floridians have: Who’s going to teach these courses if the bill passes? Gloria   the director of the Office of Teacher Preparation and Accreditation at the University of Miami, said the state is already facing a teacher shortage. So if every high school in the state is required to hire a teacher who can code, that could be a challenge —  one that also affects   programs at the   level. There’s also the question of whether students who take coding as their foreign language in high school will be accepted into colleges and universities that are looking for credits earned in traditional   courses. The Florida bill addresses this, stating that colleges and universities within the state system must accept computer coding as a foreign language. However, “each student and his or her parent must sign a statement acknowledging and accepting that taking a   course as a foreign language may not meet    college and university   requirements. ” The Florida Senate will reconvene Tuesday, with the bill on its special order calendar. If enacted, the bill would take effect on July 1 and would require schools to start offering   courses by the   school year. This article appears courtesy of the Education Writers Association."
2016-02-25,"TALLAHASSEE, Fla.  —   Florida State officials have suspended the school’s Tau Kappa Epsilon fraternity following a police investigation into hazing allegations. The university reported in a news release Wednesday that the complaint was filed in January through the school’s hazing website. The TKE member said pledges were forced to participate in a drinking game called “Old South,” where they were made to act as slaves. They were also left stranded more than 150 miles from the Tallahassee campus. The graduate told police he waited until after graduating in December to report the 2013 incident. Local prosecutors told university police too much time had passed to file charges, but school officials are investigating possible student conduct violations. A statement from TKE’s national chapter said they’re taking the allegations seriously, and they don’t tolerate racism."
2016-02-26,"The GOP debate in Houston on Thursday night was arguably Donald J. Trump’s worst of the entire 2016 campaign. He allowed Sen. Marco Rubio ( ) to mock him, and hurled insults while Sen. Ted Cruz ( ) took the high road. Rubio’s supporters are justifiably gleeful, and Cruz’s supporters were reassured to see him win on home turf. [Yes, Trump lost —  but he also won. And not just because of online polls, or Chris Christie’s endorsement Friday.  Trump won because Rubio and Cruz each found a reason to stay in the race. So they will continue splitting the vote, allowing Trump to stay on top. Trump mocks the idea that if his rivals combined their votes, they could defeat him. As other candidates drop out, he notes, at least some of those votes will come to him. Yet Trump consistently loses in    contests. If the Republican Party could consolidate behind Rubio or Cruz, Trump could still lose. Whether because each sincerely believes he can win, or is too vain to yield to the other, Rubio and Cruz have failed to solve this puzzle. Cruz has suffered three   finishes in a row, but he has a good chance of winning two of the twelve Super Tuesday states (Texas and Arkansas) while Rubio leads in none. Conversely, while Cruz claims that he is the only candidate who can beat Trump, only Rubio has made him bleed. Rubio has also racked up a set of big endorsements. On the other hand, Cruz has much of the conservative media. Neither feels an urgency to quit. Nor do their supporters show any eagerness to reconcile. In fact, they may dislike each other more than they dislike Trump. Cruz supporters will never let Rubio forget the Gang of Eight, and Rubio fans consider Cruz unelectable. If Rubio had done less well Thursday, or Cruz had collapsed, Trump would be in trouble. Instead, he won by losing."
2016-02-27,"Rick Tyler, the former communications director for Sen. Ted Cruz’s ( ) presidential campaign who was fired this week over a misleading video, told MSNBC on Friday that he did not realize how much attention the video would get when he posted it to social media. Tyler posted a video to Twitter and Facebook that appeared to show Sen. Marco Rubio ( ) saying that there are ”not many answers” in the Bible. Rubio actually said that ”all the answers” are in the Bible. Tyler removed the video when he realized the error and apologized, but Cruz ultimately asked Tyler to resign. Tyler, who has now become an MSNBC contributor, said on Friday that he was ”not mad” that he was let go. MSNBC’s Chuck Todd asked Tyler if he was fired because Cruz was disappointed in him or because ”they had accumulated too much baggage.” ”No, he was disappointed, and it was a bad call in judgment. And look, I believe Marco Rubio is a   Christian. I had no doubt about that when I tweeted it,” Tyler replied. ”Part of my judgment is I didn’t realize how much that would be twisted up and blown up, and it was. But it shouldn’t have been done. I shouldn’t have done it, and I regretted doing it. And I went on national television and told Sen. Rubio I was sorry about it.” Despite Cruz’s disappointment in Tyler, the former spokesman said that he left the campaign with a fond farewell. ”In fact, the whole team to a person went out that night to sort of wish me farewell and goodbye, including Jeff Roe, the campaign manager,” Tyler said on MSNBC. ”And Jeff made everybody tell a funny Rick Tyler story, so it was a little like being at your own funeral.” Watch the interview via MSNBC: "
2016-02-28," LITTLE ROCK, Arkansas  —   Ted Cruz released four years’ worth of tax returns on Saturday, two days after promising to do so during the debate on Thursday. He released only the first two pages of his tax returns for each year, though. The returns show that Cruz and his wife Heidi Cruz made $1. 2 million in 2014 and paid $442, 701 in taxes. They do not indicate how much the Cruzes spent in charitable contributions, and do not show how much of the Cruz family’s income has come from Heidi Cruz, a Goldman Sachs investment manager who is currently on leave during the campaign. Speaking to reporters on Saturday night ahead of a rally hosted here by   super PAC Keep the Promise, Cruz pointed out that he has now released nine years of tax returns total and said after being asked by reporters that he would release the full returns, and not just the   summaries, if his rivals do the same. Cruz released his full tax returns for the previous five years in 2012 during his Senate race. “The first five years, we released the complete tax returns,” Cruz said. “The latest four, we released the summary pages really to match what the other competitors have done. ” “If Marco wants to release the complete things for the recent years I’m happy to do so as well, and I would certainly encourage Donald Trump to do it, but we just did it to match what the other candidates are doing, this is a competitive race,” Cruz said. Previously on Saturday, Rubio also released partial tax returns. He reportedly said later on Saturday night that he will release his full returns as well. Cruz said it raises “serious ethical issues” that Donald Trump has not released any tax returns. Cruz referenced Mitt Romney’s suggestion that there could be a “bombshell” in Trump’s returns, and speculated that it could be that Trump is “embarrassed” to reveal that he isn’t as rich as he says he is, or that he is worried about legal exposure for the years for which he is being audited. (Trump said during the debate on Thursday that he doesn’t want to release his returns because he is being audited, though he didn’t know exactly which years). Cruz also raised the question of whether there could be “irregularities” or “fraud. ” “If he had tax irregularities, if he had any issues of tax fraud,” Cruz said. “Hilary Clinton and the Democrats aided and abetted by the press would make it a major issue in the general election. ” Cruz also speculated that Trump may have donated to “  organizations. ” “It could be that Donald Trump is not nearly as wealthy as he tells everybody he is,” Cruz said. “A lot of people, a lot of reporters, a lot of media outlets have speculated that his claims of wealth are vastly inflated. ” Asked about whether he has made charitable contributions  —   something that isn’t evident from what the campaign has released  —   Cruz said, “I’ve made very substantial charitable contributions. ” The fact that Cruz didn’t tithe in past years became an issue in the   to the Iowa caucuses, where Mike Huckabee allies made ads centering around the issue. Cruz campaigned in Georgia, Alabama, and Arkansas on Saturday and will be in Oklahoma and Texas in the next two days before Super Tuesday, the day that Cruz has cast in heightened terms as the most important day of his entire campaign. Though Cruz has been criticizing Trump on a regular basis for weeks after spending months avoiding going negative on him, it is Rubio who has gotten the most attention for his Trump attacks in the days since the debate. Rubio, who previously had not laid a hand on Trump, has made fun of Trump’s tan, suggested that he wet his pants, and mocked him for misspelling words. Cruz has repeatedly in the past promised not to engage in personal insults with regard to Trump, but he appears to see the tax return issue as a potent way to needle Trump and cast doubt on his integrity.  "
2016-02-29,"Fans of Marco Rubio are rejoicing: Their man is finally giving Donald Trump a taste of his own medicine. Here’s Rubio on Trump’s, ahem, “unnatural” complexion: “The guy with the worst spray tan in America is attacking me for putting on makeup. Donald Trump likes to sue people. He should sue whoever did that to his face. . . . Donald is not going to make America great, he’s going to make America orange. ” On misspelled words in Trump’s tweets: “That’s how they spell at the Wharton School of Business. . . . He must have hired a foreign worker to do his own tweets. ” On a   heckler: “Ladies and gentlemen, the valedictorian of Trump University!” RELATED: Trump, the   Candidate, If anyone has it coming, it’s Trump. He’s made a whole campaign of dishing such insults out now we’re watching him take them. And the same media outlets that gleefully aired Trump’s   rallies live for most of 2015 have no standing to lament the coarsening of American public discourse now. The disgusting symbiosis between Trump and   programmers has defined this election Rubio’s just belatedly decided to play by their rules. Nevertheless, it’s worth asking how this particular genie could ever be put back in the bottle. Share article on FacebookshareTweet The networks have made it pretty clear that they’ll take their eye off Trump only as long as Rubio is insulting him. As soon as Rubio returns to his standard campaign speech  —   to the ideas and policies that elections are supposed to be about  —   they cut away to the studio, or back to the moment’s Trump rally. RELATED: It’s Trump’s World. We’re All Just Enabling It. And Ted Cruz, who refuses to emulate Don Rickles in criticizing Trump, has virtually disappeared from the news cycle. Cruz has been as critical as Rubio last week he said, “I’m not willing gamble my daughters’ future with Donald Trump. If Donald Trump became president, nobody knows what the heck he would do. He doesn’t know what the heck he would do. ” But that line just wasn’t funny or shocking enough to generate many headlines. It’s still possible for Rubio to overcome Trump or deny him the delegates needed for the nomination, but this should provide little comfort to those of us who actually care about the direction of the country. If Rubio wins, it will be in part because he adapted to the   circus that modern political journalism prizes above all else. If Rubio and Cruz lose, it will be in part because Cruz wasn’t willing to play the insult game and Rubio started it too late. But then, everything about the GOP’s reaction to Trump came too late. In September, when he mocked Carly Fiorina’s appearance, he gave party leaders a clear opportunity to declare that those kinds of comments were completely unacceptable from an aspiring  . They failed to seize that opportunity, and the countless other similar openings Trump would later provide them. More Donald Trump A Question Needing an AnswerIs Immigration to the U. S. an Entitlement? You gotta have heart, c. The rise of such a crass and obnoxious candidate reflects the fact that America has a crass and obnoxious culture. In some circles, it’s considered shallow to judge people by their appearance. In others, it’s the    final word that resolves the argument. Trump called Fox News’s Megyn Kelly a “bimbo,” declared Heidi Klum is no longer a “ten,” wrote Gail Collins to tell her she has the face of a dog, and said Arianna Huffington is “a dog who wrongfully comments on me. ” He’s the comments section personified: sneering, swearing, lashing out. His base has applauded all the while, and that’s the truly worrisome thing: Our political culture is so toxic because just enough of us like it that way.,"
2016-03-01,"We all know ancestors give us our hair color, but the roots of gray hair have been less clear. Is it genetics, or stress? Marie Antoinette supposedly went completely white the night before they lopped off her head. And our presidents seem to go gray much faster than those of us with less weighty roles. It turns out you can blame Mom and Dad, at least a bit. Scientists say they’ve identified the first gene for gray hair. The variant, dubbed IRF4, is also associated with blonde or   hair. That makes sense, because melanin is the pigment that paints hair with the chestnut, golden or raven hues of youth. With age, the melanocytes that produce the color in hair follicles can slow down. And you start going gray. ”You think about hair graying as the absence of melanin,” says Kaustubh Adhikari, a statistical genetics postdoc at University College London and lead author of the study, which was published Tuesday in Nature Communications. Gray hair is more common in people of European origin, as is lighter hair. That makes sense, Adhikari says. ”You would sort of think of hair graying as an unintended consequence of selecting for this hair color.” In other words, if you decide to marry a blonde, don’t be surprised if your kids someday turn gray. People of Asian and African ancestry also go gray, but less often than do Europeans. ”You would expect that they would have genes that influence graying,” Adhikari says. ”We just haven’t found them yet.” The scientists discovered the gray gene by studying the scalps and facial hair of 6, 630 volunteers in Brazil, Colombia, Chile, Mexico and Peru. The researchers took photographs and asked about natural hair color. The participants had a mix of European, Native American and African ancestry. Then the scientists performed genetic analyses called   association scans that look for common variants, and matched them with appearance. Ten new variants popped out gray hair was matched with one. Others influence unibrow, balding, eyebrow thickness and hair structure. Still, genetics isn’t necessarily destiny. Adhikari figures that the IRF4 variant accounts for about 30 percent of gray hair, with environmental factors  —   including, perhaps, stress  —   accounting for the rest."
2016-03-02,Last night I flagged this poignant moment when Jake Tapper’s interview with Marco Rubio turned into an impromptu grief counseling session. Tapper tried to gently but compassionately edge up to the subject: ”I’m wondering if there’s a certain amount of denial that you’re in about this race?” Now Caitlin MacNeal has the video. Watch. Josh Marshall is editor and publisher of TalkingPointsMemo. com. 
2016-03-03,"Allegations of sexual assault against Bill Cosby as well as intensified focus on campus rape have left many prosecutors struggling to figure out new ways to right old wrongs. Now, a growing number of states are changing their statutes of limitations to allow sexual assault cases to be prosecuted years and even decades after the fact. ”We have to keep the door open for justice for survivors,” says Rebecca O’Connor from the Rape, Abuse And Incest National Network. State statutes of limitations currently range from 3 to 30 years. O’Connor says a new understanding about how rape victims often need time to recover from their trauma is bolstering efforts to loosen their time limits. ”It has been nonstop, the public outrage and awareness about access to justice. That’s really been mushrooming,” she says. Several states, including Florida and Nevada, have lengthened their time limits. More than a   more, are actively considering it, and many states have no limit at all for cases where there’s DNA evidence or for the most serious rapes. Virginia is one of those with an   policy. It’s what allowed one woman just this week to go to the police and report a rape that she says happened at a small college on her 19th birthday 19 years ago. ”I was staying overnight in someone’s dorm room and was starting to fall asleep and a stranger walked in that I never had met before and in my mind he knew what he was going in there to do and he made it happen,” she says. The woman, who asked that her name not be used to protect her privacy, says she told school security and a school nurse what happened but she was so traumatized and in such deep denial for years that she didn’t even consider telling police she was raped. ”I didn’t even recognize it as that. I minimized it in my mind and I just kinda blew it off that it was a bad night because I just wanted to believe that it didn’t happen,” she says. Now she says going to police is not only important to her own healing but also, as her lawyer and founder of the advocacy group SurvJustice Laura Dunn says, it’s a matter of public safety. ”Every single state has an interest in making sure that individuals who are predatory are taken off the street and if that means someone speaking out later, that’s something we should be supporting,” Dunn says. But how much later is the subject of fierce debate. Gerry Morris of the National Association of Criminal Defense Attorneys says its wrong to totally eliminate time limits, or to make them, as he puts it, ”ridiculously long.” ”How would I mount a defense to an accusation of something that occurred two decades ago or is that person just basically a sitting duck at this point?” he asks. Morris says time limits were enacted for a reason: memories fade, evidence gets lost and witnesses are hard to find. But Cardoza Law School professor Marci Hamilton says defendents have ample protections at trial, and the prosecutors have the bigger challenge  —   to prove their case beyond a reasonable doubt. Concerns about wrongful convictions are unfounded, she says. ”Prosecutors winnow out the cases where they think they can’t win, and so there’s a natural fault in the system where weak cases simply are not picked up for prosecution,” she says. A bill approved by lawmakers this week in Oregon aims for a middle ground by differentiating between weak and stronger cases. All cases have a   window for prosecution. But the limit is lifted in cases where there is hard evidence, for example, or multiple accusers. The sponsor, State Sen. Floyd Prozanski, says he was pilloried by some advocates for not supporting longer windows for all cases. But as a guy who was traumatized himself by the murder of his sister in high school, Prozanski knows how emotion can lead to bad decisions. ”I literally was wanting to grab one of my hunting guns and go hunt the guy down. But the reality is when we’re in these situations, we have to take away these emotions and we can’t just basically say we’re going to just remove any safeguards that we currently have,” Prozanski says. Experts say the next step might be to open doors wider for civil cases, so even when an alleged victim misses the deadline for prosecution, an alleged perpetrator would still not be totally off the hook."
